"=CONCATENAR( ,23) ","Quintana Roo","3,921","45","30","387","1,377","729","67","28","1,258"
" 23 001 ","Cozumel","178","4","6","11","62","44","2","","49"
" 23 002 ","Felipe Carrillo Puerto","276","4","4","24","130","69","4","3","38"
" 23 003 ","Isla Mujeres","57","2","2","6","19","3","2","","23"
" 23 004 ","Oth�n P. Blanco","547","4","2","65","228","134","13","1","100"
" 23 005 ","Benito Ju�rez","1,713","21","3","183","655","265","27","16","543"
" 23 006 ","Jos� Mar�a Morelos","116","3","3","14","61","29","2","","4"
" 23 007 ","L�zaro C�rdenas","73","","1","9","36","17","1","","9"
" 23 008 ","Solidaridad","619","3","3","29","71","94","8","8","403"
" 23 009 ","Tulum","103","3","2","10","47","18","1","","22"
" 23 010 ","Bacalar","167","","3","30","52","34","2","","46"
" 23 011 ","Puerto Morelos","72","1","1","6","16","22","5","","21"
