"=CONCATENAR( ,23) ","Quintana Roo","7,271","74","70","491","2,382","1,607","742","56","1,849"
" 23 001 ","Cozumel","293","4","5","9","115","92","42","","26"
" 23 002 ","Felipe Carrillo Puerto","373","9","2","33","166","90","44","","29"
" 23 003 ","Isla Mujeres","100","1","4","10","35","19","8","1","22"
" 23 004 ","Oth�n P. Blanco","817","6","10","62","328","217","116","1","77"
" 23 005 ","Benito Ju�rez","3,424","34","13","210","1,259","760","393","37","718"
" 23 006 ","Jos� Mar�a Morelos","168","4","6","27","77","28","14","","12"
" 23 007 ","L�zaro C�rdenas","54","","2","7","30","10","2","","3"
" 23 008 ","Solidaridad","1,521","3","6","53","180","305","64","15","895"
" 23 009 ","Tulum","199","5","11","20","64","49","28","1","21"
" 23 010 ","Bacalar","203","2","7","49","85","18","11","","31"
" 23 011 ","Puerto Morelos","119","6","4","11","43","19","20","1","15"
